Date,Open,High,Low,Close,Adj Close,Volume
2009-05-07,818.900024,825.000000,813.500000,821.849976,773.954468,13878
2009-05-08,823.000000,829.900024,813.000000,814.750000,767.268188,4791
2009-05-11,825.900024,835.000000,796.099976,811.349976,764.066345,12929
2009-05-12,820.000000,820.000000,790.000000,804.049988,757.191956,2668
2009-05-13,810.000000,815.000000,796.500000,805.099976,758.180542,15342
2009-05-14,804.950012,821.000000,790.049988,818.049988,770.375977,6181
2009-05-15,820.000000,836.000000,806.099976,822.500000,774.566650,15462
2009-05-18,900.000000,945.799988,900.000000,918.849976,865.301514,150
2009-05-19,951.000000,990.000000,810.099976,871.650024,820.852417,37291
2009-05-20,870.000000,1009.950012,870.000000,992.250000,934.423767,29284
2009-05-21,1009.000000,1055.000000,970.250000,1046.550049,985.559326,12580
2009-05-22,1044.000000,1050.000000,990.000000,1022.549988,962.958008,5502
2009-05-25,1022.000000,1054.949951,996.049988,1008.049988,949.303162,20649
2009-05-26,1020.000000,1040.000000,970.000000,978.400024,921.381042,3891
2009-05-27,1043.000000,1043.000000,995.000000,1022.299988,962.722656,6600
2009-05-28,1010.000000,1021.950012,970.000000,1002.500000,944.076599,27544
2009-05-29,1009.000000,1040.000000,1001.000000,1018.049988,958.720154,8102
2009-06-01,1038.000000,1060.000000,1010.000000,1045.250000,984.335388,231749
2009-06-02,1097.900024,1098.000000,1035.000000,1062.599976,1000.673950,25016
2009-06-03,1077.800049,1080.000000,1052.000000,1061.199951,999.355469,8858
2009-06-04,1061.000000,1075.000000,1035.000000,1066.550049,1004.393860,6068
2009-06-05,1072.500000,1122.000000,1040.000000,1097.449951,1033.493164,13886
2009-06-08,1132.300049,1160.000000,1104.000000,1119.949951,1054.681885,26058
2009-06-09,1096.900024,1160.000000,1096.000000,1154.250000,1086.982910,38651
2009-06-10,1155.000000,1205.000000,1155.000000,1198.199951,1128.371582,11614
2009-06-11,1178.000000,1230.000000,1178.000000,1219.050049,1148.006470,17899
2009-06-12,1207.000000,1229.849976,1170.000000,1202.500000,1132.421265,82058
2009-06-15,1175.050049,1209.000000,1138.099976,1179.000000,1110.290771,17827
2009-06-16,1170.000000,1216.000000,1151.000000,1196.800049,1127.053345,30998
2009-06-17,1202.000000,1212.000000,1185.000000,1202.800049,1132.703613,16339
2009-06-18,1180.000000,1215.000000,1161.000000,1185.400024,1116.317505,31686
2009-06-19,1197.000000,1211.000000,1170.500000,1189.849976,1120.508179,18839
2009-06-22,1200.000000,1219.900024,1145.000000,1159.800049,1092.209351,31200
2009-06-23,1145.000000,1149.000000,1102.000000,1129.349976,1063.534180,4231
2009-06-24,1140.000000,1185.699951,1139.900024,1175.050049,1106.570679,4205
2009-06-25,1167.500000,1188.599976,1155.199951,1163.750000,1095.928955,4080
2009-06-26,1187.400024,1194.900024,1168.000000,1189.050049,1119.754883,6376
2009-06-29,1190.000000,1210.000000,1171.000000,1205.099976,1134.869507,4572
2009-06-30,1205.000000,1209.300049,1170.000000,1196.000000,1126.299805,7213
