Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,2000.099976,2100.000000,2000.099976,2042.000000,1972.231567,1570
2009-01-05,2094.949951,2100.000000,2044.050049,2057.750000,1987.443481,894
2009-01-06,2037.000000,2090.000000,2020.050049,2032.150024,1962.718506,1149
2009-01-07,2050.000000,2074.899902,1875.199951,1889.349976,1824.797485,2205
2009-01-09,1889.349976,1900.000000,1813.500000,1830.900024,1768.344116,1388
2009-01-12,1830.900024,1879.000000,1800.000000,1812.250000,1750.331177,811
2009-01-13,1848.000000,1864.000000,1805.050049,1818.000000,1755.885010,609
2009-01-14,1840.000000,1870.000000,1810.099976,1833.050049,1770.420532,1417
2009-01-15,1780.000000,1839.000000,1726.000000,1801.699951,1740.141602,893
2009-01-16,1800.000000,1829.900024,1751.000000,1793.099976,1731.835571,1515
2009-01-19,1785.000000,1839.000000,1780.849976,1818.250000,1756.126221,490
2009-01-20,1780.050049,1810.000000,1780.050049,1796.750000,1735.360962,444
2009-01-21,1795.000000,1810.650024,1780.000000,1798.599976,1737.147583,694
2009-01-22,1800.000000,1824.449951,1735.000000,1741.949951,1682.433350,904
2009-01-23,1745.000000,1787.949951,1565.000000,1653.150024,1596.667114,8780
2009-01-27,1650.000000,1650.000000,1605.250000,1633.550049,1577.737061,1624
2009-01-28,1630.099976,1690.000000,1630.000000,1658.400024,1601.738037,906
2009-01-29,1680.000000,1698.900024,1642.000000,1676.349976,1619.074219,936
2009-01-30,1650.000000,1699.900024,1650.000000,1688.000000,1630.326538,588
2009-02-02,1660.000000,1689.000000,1621.150024,1654.449951,1597.923218,837
2009-02-03,1678.699951,1679.949951,1628.000000,1643.750000,1587.588379,940
2009-02-04,1663.000000,1663.000000,1622.000000,1631.349976,1575.612183,550
2009-02-05,1679.000000,1680.000000,1601.199951,1640.199951,1584.159424,933
2009-02-06,1651.000000,1669.000000,1625.000000,1653.250000,1596.763428,599
2009-02-09,1670.000000,1670.000000,1611.000000,1653.599976,1597.101318,844
2009-02-10,1668.900024,1689.949951,1650.000000,1673.349976,1616.177246,1088
2009-02-11,1650.000000,1670.000000,1623.099976,1659.050049,1602.365479,564
2009-02-12,1658.000000,1738.000000,1641.500000,1693.150024,1635.300537,1269
2009-02-13,1724.949951,1750.000000,1662.250000,1713.449951,1654.906982,1265
2009-02-16,1747.900024,1747.900024,1660.050049,1672.599976,1615.452637,549
2009-02-17,1661.050049,1669.800049,1620.000000,1654.000000,1597.488403,1018
2009-02-18,1650.000000,1695.000000,1625.000000,1644.250000,1588.071411,695
2009-02-19,1650.000000,1695.000000,1640.000000,1652.199951,1595.749878,716
2009-02-20,1669.750000,1669.750000,1620.000000,1632.900024,1577.109253,955
2009-02-24,1650.000000,1650.000000,1600.000000,1620.750000,1565.374023,595
2009-02-25,1645.000000,1653.000000,1610.000000,1624.699951,1569.189331,742
2009-02-26,1625.000000,1648.000000,1602.400024,1639.150024,1583.145630,508
2009-02-27,1649.949951,1651.000000,1625.000000,1647.400024,1591.113525,555
2009-03-02,1651.000000,1655.000000,1620.250000,1641.250000,1585.173706,584
2009-03-03,1625.000000,1630.000000,1610.000000,1614.900024,1559.723999,583
2009-03-04,1611.000000,1647.000000,1590.000000,1595.949951,1541.421387,947
2009-03-05,1619.000000,1620.050049,1535.000000,1541.750000,1489.073486,1470
2009-03-06,1525.000000,1549.949951,1470.000000,1535.800049,1496.919678,978
2009-03-09,1550.000000,1550.000000,1525.000000,1535.949951,1497.065918,744
2009-03-12,1525.000000,1549.949951,1525.000000,1529.699951,1490.973999,474
2009-03-13,1549.000000,1550.000000,1500.000000,1536.449951,1497.552979,1172
2009-03-16,1561.949951,1565.000000,1533.000000,1552.750000,1513.440308,603
2009-03-17,1574.949951,1624.900024,1555.000000,1595.849976,1555.449341,1146
2009-03-18,1600.000000,1645.849976,1579.849976,1616.900024,1575.966553,1159
2009-03-19,1600.699951,1695.000000,1600.699951,1632.750000,1591.415161,1072
2009-03-20,1630.000000,1631.500000,1595.300049,1603.849976,1563.247070,284
2009-03-23,1620.000000,1712.000000,1607.500000,1678.750000,1636.250610,1177
2009-03-24,1700.000000,1738.500000,1626.000000,1641.800049,1600.236328,2528
2009-03-25,1650.000000,1665.000000,1615.000000,1637.849976,1596.386230,933
2009-03-26,1655.000000,1685.000000,1650.000000,1678.750000,1636.250610,707
2009-03-27,1693.000000,1708.000000,1658.000000,1685.000000,1642.342407,1495
2009-03-30,1695.000000,1695.000000,1650.500000,1661.199951,1619.145264,478
2009-03-31,1698.000000,1789.000000,1650.000000,1738.750000,1694.731445,1736
2009-04-01,1795.949951,1850.000000,1701.000000,1820.750000,1774.655884,2584
2009-04-02,1850.000000,1950.000000,1850.000000,1926.000000,1877.241455,2642
2009-04-06,1930.050049,2050.000000,1910.000000,1990.949951,1940.546997,2610
2009-04-08,1940.000000,2089.000000,1900.000000,2051.000000,1999.076294,2818
2009-04-09,2092.000000,2092.000000,2035.000000,2046.849976,1995.032227,1805
2009-04-13,2097.949951,2350.000000,2071.000000,2240.850098,2184.120361,10757
2009-04-15,2240.000000,2285.000000,2200.000000,2222.149902,2165.892822,3235
2009-04-16,2280.000000,2280.000000,2050.000000,2093.449951,2040.452271,2659
2009-04-17,1990.000000,2196.000000,1990.000000,2057.500000,2005.412231,16280
2009-04-20,2134.750000,2250.000000,2030.000000,2167.600098,2112.725098,4359
2009-04-21,2120.000000,2350.000000,2120.000000,2264.199951,2206.879639,5606
2009-04-22,2285.000000,2360.000000,2211.149902,2244.399902,2187.580566,5049
2009-04-23,2202.000000,2250.000000,2160.000000,2229.399902,2172.960205,2891
2009-04-24,2285.899902,2303.000000,2210.000000,2252.050049,2195.036865,1875
2009-04-27,2256.000000,2315.000000,2177.050049,2241.949951,2185.192627,3063
2009-04-28,2220.000000,2298.949951,2180.000000,2195.300049,2139.724121,1182
2009-04-29,2200.000000,2315.000000,2152.600098,2234.000000,2177.443848,4061
2009-04-30,2210.000000,2210.000000,2210.000000,2210.000000,2154.051758,0
2009-05-04,2216.199951,2357.750000,2216.199951,2301.250000,2242.991211,4541
2009-05-05,2256.149902,2320.000000,2256.149902,2279.750000,2222.035400,1755
2009-05-06,2255.000000,2379.699951,2210.000000,2263.000000,2205.709229,4871
2009-05-07,2290.000000,2379.800049,2290.000000,2350.449951,2290.945801,2401
2009-05-08,2301.100098,2379.800049,2301.100098,2326.250000,2267.358398,1514
2009-05-11,2306.000000,2366.949951,2263.100098,2275.500000,2217.893555,1021
2009-05-12,2276.100098,2290.000000,2205.250000,2276.800049,2219.160156,1719
2009-05-13,2310.000000,2350.000000,2281.649902,2298.300049,2240.116211,3049
2009-05-14,2216.000000,2395.000000,2216.000000,2359.600098,2299.864258,2216
2009-05-15,2360.000000,2425.000000,2345.050049,2357.050049,2297.378418,1640
2009-05-18,2589.949951,2589.949951,2589.949951,2589.949951,2524.382568,1
2009-05-19,2600.000000,2750.000000,2411.000000,2488.149902,2425.159424,5775
2009-05-20,2360.000000,2550.000000,2360.000000,2536.550049,2472.334717,1941
2009-05-21,2545.199951,2790.000000,2532.050049,2701.300049,2632.914063,5655
2009-05-22,2600.000000,2850.000000,2600.000000,2738.350098,2669.026123,3455
2009-05-25,2850.000000,3497.000000,2850.000000,3280.750000,3197.693848,24814
2009-05-26,3380.000000,3500.000000,3050.000000,3105.800049,3027.173828,17111
2009-05-27,3340.000000,3340.000000,3154.000000,3182.949951,3102.369385,4647
2009-05-28,3199.000000,3245.000000,3120.000000,3139.550049,3060.069336,3411
2009-05-29,3200.000000,3240.000000,3100.000000,3161.899902,3081.853027,4067
2009-06-01,3240.000000,3410.000000,3140.000000,3370.199951,3284.879883,7446
2009-06-02,3385.000000,3445.000000,3175.500000,3225.500000,3143.842529,6626
2009-06-03,3300.000000,3499.000000,3225.000000,3412.750000,3326.353271,8510
2009-06-04,3400.000000,3475.000000,3381.050049,3432.300049,3345.407959,4149
2009-06-05,3390.000000,3471.000000,3350.000000,3381.199951,3295.601563,2076
2009-06-08,3550.000000,3675.000000,3410.000000,3465.699951,3377.962402,9592
2009-06-09,3450.000000,3574.000000,3400.000000,3513.050049,3424.114014,5749
2009-06-10,3535.000000,3660.000000,3455.000000,3484.399902,3396.188965,6287
2009-06-11,3598.500000,3598.500000,3441.050049,3495.899902,3407.396973,5177
2009-06-12,3480.050049,3547.949951,3380.000000,3408.350098,3322.063232,3499
2009-06-15,3441.149902,3460.000000,3301.000000,3307.550049,3223.816162,1432
2009-06-16,3251.000000,3460.500000,3250.000000,3409.850098,3323.526367,6339
2009-06-17,3601.000000,3900.000000,3400.000000,3453.750000,3366.314697,36864
2009-06-18,3375.000000,3647.949951,3261.000000,3369.949951,3284.636230,8349
2009-06-19,3496.000000,3550.000000,3325.000000,3386.050049,3300.328613,7442
2009-06-22,3395.000000,3449.000000,3300.000000,3319.350098,3235.317383,2883
2009-06-23,3250.000000,3282.000000,3205.000000,3230.000000,3148.229004,2555
2009-06-24,3270.000000,3600.000000,3225.000000,3402.500000,3316.360840,5394
2009-06-25,3500.000000,3699.899902,3277.000000,3306.649902,3222.938232,3059
2009-06-26,3305.000000,3400.000000,3300.000000,3364.149902,3278.983643,2342
2009-06-29,3351.000000,3394.699951,3325.000000,3349.100098,3264.313232,1308
2009-06-30,3355.000000,3407.699951,3309.500000,3387.899902,3302.131592,3144
2009-07-01,3417.899902,3744.899902,3312.000000,3648.699951,3556.329346,8698
2009-07-02,3801.000000,4374.000000,3588.000000,3678.649902,3585.521240,42126
2009-07-03,3569.449951,3677.000000,3569.449951,3601.050049,3509.885742,5561
2009-07-06,3640.000000,3669.000000,3330.149902,3379.800049,3294.237305,5480
2009-07-07,3433.000000,3433.000000,3311.000000,3346.000000,3261.292969,2721
2009-07-08,3233.000000,3317.000000,3209.699951,3236.699951,3154.760010,2560
2009-07-09,3220.000000,3350.000000,3215.000000,3299.250000,3215.725830,3156
2009-07-10,3380.000000,3450.000000,3230.000000,3275.350098,3192.430908,5138
2009-07-13,3200.000000,3247.000000,3100.050049,3121.199951,3042.183594,2028
2009-07-14,3199.949951,3249.949951,3150.050049,3198.699951,3117.721191,2763
2009-07-15,3225.000000,3325.000000,3216.350098,3270.449951,3187.655273,5477
2009-07-16,3384.000000,3384.000000,3220.000000,3245.449951,3163.288574,3180
2009-07-17,3300.000000,3490.000000,3241.050049,3395.800049,3309.831299,6585
2009-07-20,3444.000000,3444.000000,3364.000000,3379.300049,3293.748779,3900
2009-07-21,3350.000000,3439.000000,3323.500000,3381.600098,3295.991699,2438
2009-07-22,3425.000000,3487.000000,3378.050049,3395.399902,3309.441162,4173
2009-07-23,3405.000000,3585.000000,3400.000000,3520.149902,3431.032959,7781
2009-07-24,3638.000000,3857.000000,3547.000000,3819.800049,3723.097656,19734
2009-07-27,3850.000000,4583.799805,3700.050049,4461.600098,4348.648926,74573
2009-07-28,4500.000000,4950.000000,4480.000000,4648.600098,4530.916504,42655
2009-07-29,4595.000000,4650.000000,4351.000000,4558.350098,4442.951172,19534
2009-07-30,4725.000000,4958.000000,4693.000000,4721.850098,4602.311035,17940
2009-07-31,4840.000000,4889.950195,4610.000000,4640.799805,4523.312500,8379
2009-08-03,4450.000000,4790.000000,4450.000000,4624.600098,4507.523926,4408
2009-08-04,4640.000000,4895.000000,4580.049805,4662.899902,4544.854004,12469
2009-08-05,4760.000000,4760.000000,4617.000000,4633.049805,4515.759277,3795
2009-08-06,4633.049805,4855.000000,4615.000000,4628.700195,4514.442383,11140
2009-08-07,4595.000000,4641.000000,4412.000000,4455.950195,4345.957520,5736
2009-08-10,4500.000000,4649.399902,4300.000000,4323.350098,4216.629883,5346
2009-08-11,4300.000000,4370.000000,4126.000000,4264.950195,4159.671387,5290
2009-08-12,4200.000000,4315.000000,4180.000000,4224.399902,4120.123047,5462
2009-08-13,4329.000000,4370.000000,4260.000000,4312.600098,4206.145996,4486
2009-08-14,4343.000000,4346.000000,4230.000000,4256.049805,4150.991699,2828
2009-08-17,4250.000000,4345.000000,4205.000000,4234.100098,4129.582520,5625
2009-08-18,4260.000000,4294.000000,4201.899902,4223.799805,4119.537109,3020
2009-08-19,4230.000000,4265.000000,4165.100098,4180.200195,4077.014648,2872
2009-08-20,4210.000000,4450.000000,4181.000000,4302.850098,4196.636230,8567
2009-08-21,4300.000000,4369.000000,4210.000000,4286.200195,4180.395996,4404
2009-08-24,4350.000000,4460.600098,4290.000000,4342.549805,4235.357422,6543
2009-08-25,4240.000000,4360.000000,4240.000000,4307.500000,4201.170898,2022
2009-08-26,4358.000000,4358.000000,4285.000000,4312.200195,4205.755859,2660
2009-08-27,4307.700195,4349.000000,4279.500000,4292.200195,4186.249512,2798
2009-08-28,4275.000000,4340.000000,4230.000000,4265.750000,4160.452637,4433
2009-08-31,4220.049805,4395.000000,4220.049805,4287.799805,4181.959473,5262
2009-09-01,4292.000000,4319.000000,4141.000000,4191.149902,4087.692871,3777
2009-09-02,4230.000000,4275.000000,4151.549805,4240.850098,4136.167480,3144
2009-09-03,4250.000000,4280.000000,4130.000000,4150.799805,4048.339844,4514
2009-09-04,4210.000000,4480.000000,4155.000000,4380.950195,4272.809082,20315
2009-09-07,4450.000000,4480.000000,4282.000000,4312.850098,4206.390137,11438
2009-09-08,4370.000000,4480.000000,4331.100098,4450.250000,4340.396484,12981
2009-09-09,4500.000000,5170.000000,4425.000000,4948.200195,4826.056152,54156
2009-09-10,5225.649902,5415.000000,5082.000000,5147.399902,5020.339844,46673
2009-09-11,5200.000000,5360.000000,4900.049805,5279.049805,5148.737305,27153
2009-09-14,5256.000000,5525.000000,5125.000000,5347.200195,5215.206543,24543
2009-09-15,5380.000000,5489.700195,5321.000000,5360.450195,5228.130859,11840
2009-09-16,5400.000000,5420.000000,5250.049805,5283.799805,5153.373047,5390
2009-09-17,5349.000000,5375.000000,5202.049805,5217.000000,5088.219238,7427
2009-09-18,5200.049805,5278.000000,5186.000000,5202.750000,5074.322754,4732
2009-09-22,5260.000000,5329.799805,5180.000000,5196.899902,5068.616699,4723
2009-09-23,5255.000000,5289.000000,5160.000000,5178.450195,5050.624023,3674
2009-09-24,5102.000000,5740.000000,4901.000000,5669.350098,5529.405273,61278
2009-09-25,5690.000000,5820.000000,5475.000000,5525.000000,5388.617188,29981
2009-09-29,5565.000000,5918.000000,5540.000000,5640.549805,5501.315918,39206
2009-09-30,5679.950195,5825.000000,5650.100098,5746.450195,5604.602539,19828
2009-10-01,5700.000000,5750.000000,5610.000000,5635.250000,5496.145996,9594
2009-10-05,5600.000000,5670.000000,5400.000000,5442.549805,5308.204590,8809
2009-10-06,5529.000000,5793.299805,5420.500000,5443.950195,5309.569336,10435
2009-10-07,5500.000000,5729.000000,5450.000000,5484.649902,5349.264160,20647
2009-10-08,5594.000000,5635.000000,5460.000000,5481.950195,5346.629883,7345
2009-10-09,5520.000000,5620.000000,5425.000000,5476.750000,5341.560547,10724
2009-10-12,5539.000000,6030.200195,5514.049805,5933.450195,5786.986816,47132
2009-10-13,5962.000000,5962.000000,5962.000000,5962.000000,5814.830566,0
2009-10-14,6144.399902,6270.000000,6033.049805,6089.049805,5938.746094,59036
2009-10-15,6152.000000,6170.000000,5941.100098,6011.399902,5863.010254,24682
2009-10-16,6000.000000,6140.000000,5999.000000,6020.649902,5872.034668,10658
2009-10-20,6129.000000,6370.000000,6015.000000,6302.500000,6146.927246,41445
2009-10-21,6320.000000,6349.000000,6077.000000,6106.200195,5955.471680,16594
2009-10-22,6134.399902,6169.899902,5893.000000,5925.100098,5778.841309,12700
2009-10-23,6049.700195,6149.000000,5711.000000,5856.750000,5712.178711,11409
2009-10-26,5919.000000,5935.000000,5731.000000,5752.399902,5610.405273,9160
2009-10-27,5810.000000,5810.000000,5500.000000,5511.750000,5375.696289,10183
2009-10-28,5520.000000,5550.000000,5351.000000,5425.149902,5291.233398,10307
2009-10-29,5300.000000,5470.000000,5300.000000,5368.799805,5236.274414,8215
